,hora,comuna,tipo_calle,calle,longitud,latutid,victima,FECHA ,SEXO,EDAD_VICTIMA
11670,10:00:00 p.m.,1,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",-58.358815066481,-34.611136413572,CICLISTA,2020-01-24,Mujer,44
11672,07:30:00 p.m.,14,AVENIDA,DEL LIBERTADOR AV.,-58.41316147916,-34.575796696868,CICLISTA,2020-01-24,Mujer,26
11674,07:40:00 p.m.,5,AVENIDA,INDEPENDENCIA AV.,-58.419427844853,-34.621192428121,CICLISTA,2020-01-27,Varon,22
11675,12:55:00 p.m.,14,CALLE,BONPLAND,-58.435143471395,-34.581691343344,CICLISTA,2020-01-27,Varon,47
11676,12:55:00 p.m.,14,CALLE,BONPLAND,-58.435143471395,-34.581691343344,CICLISTA,2020-01-27,mujer,40
11677,06:50:00 p.m.,6,AVENIDA,"GOYENA, PEDRO AV.",-58.434506571639,-34.625701802135,CICLISTA,2020-01-27,Mujer,31
11679,01:00:00 p.m.,15,CALLE,OTERO,-58.452361075817,-34.593077450977,CICLISTA,2020-01-28,Varon,32
11680,11:00:00 a.m.,7,CALLE,YERBAL,-58.464761179353,-34.628245448211,CICLISTA,2020-01-28,Varon,19
11681,01:10:00 p.m.,9,CALLE,SALADILLO,-58.509708649178,-34.666417791716,CICLISTA,2020-01-28,Mujer,28
11682,07:00:00 p.m.,6,CALLE,VALLE,-58.44062219281,-34.624991070737,CICLISTA,2020-01-28,Mujer,29
11684,10:25:00 a.m.,6,CALLE,RIGLOS,-58.436923294261,-34.621816284208,CICLISTA,2020-01-29,Varon,40
11686,03:50:00 p.m.,14,AVENIDA,SANTA FE AV.,-58.413157644063,-34.587003592548,CICLISTA,2020-01-29,Varon,19
11687,01:05:00 a.m.,15,AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",-58.449564062602,-34.602896908379,CICLISTA,2020-01-30,Varon,30
11689,12:10:00 a.m.,13,CALLE,ARRIBEÃ‘OS,-58.46047821913,-34.54509431226,CICLISTA,2020-01-31,sd,sd
11690,02:30:00 p.m.,4,CALLE,HERRERA,-58.378073910514,-34.637645724919,CICLISTA,2020-01-31,Varon,31
11691,04:30:00 p.m.,12,CALLE,SUPERI,-58.47355323361,-34.559798483607,CICLISTA,2020-01-31,Varon,55
11693,07:00:00 p.m.,11,CALLE,"DIAZ, CESAR, GRAL.",-58.472741762441,-34.611109047295,CICLISTA,2020-01-31,Varon,55
11694,05:00:00 p.m.,3,CALLE,"MITRE, BARTOLOME",-58.397179147371,-34.608508638067,CICLISTA,2020-01-31,Varon,32
11696,11:35:00 p.m.,15,AVENIDA,SAN MARTIN AV.,-58.492907996304,-34.597067301924,CICLISTA,2020-02-01,Varon,36
11697,01:40:00 p.m.,15,CALLE,ZAMUDIO,-58.491881640687,-34.587905210107,CICLISTA,2020-02-01,Mujer,27
11698,06:40:00 p.m.,14,AVENIDA,SANTA FE AV.,-58.42653328892,-34.57816791121,CICLISTA,2020-02-01,Varon,48
11699,03:35:00 p.m.,9,CALLE,MONTIEL,-58.525998897473,-34.642291557395,CICLISTA,2020-02-01,Varon,28
11702,11:30:00 a.m.,15,AVENIDA,CORRIENTES AV.,-58.444301374112,-34.594763673349,CICLISTA,2020-02-03,Varon,36
11705,08:15:00 a.m.,7,CALLE,ZAÃ‘ARTU,-58.426703998234,-34.638544236401,CICLISTA,2020-02-03,Varon,35
11706,11:30:00 p.m.,13,CALLE,CIUDAD DE LA PAZ,-58.459281859565,-34.560742390015,CICLISTA,2020-02-04,Varon,24
11707,10:30:00 a.m.,4,AVENIDA,ALMAFUERTE AV.,-58.412350792404,-34.640887838079,CICLISTA,2020-02-04,Varon,19
11708,11:55:00 a.m.,15,CALLE,LOYOLA,-58.440671771778,-34.590461714663,CICLISTA,2020-02-04,Varon,25
11709,10:00:00 a.m.,4,AVENIDA,CASEROS AV.,-58.395958120944,-34.635371810189,CICLISTA,2020-02-04,Varon,25
11710,07:30:00 a.m.,15,CALLE,"CARRANZA, ANGEL JUSTINIANO",-58.444283440513,-34.587508758536,CICLISTA,2020-02-05,Varon,24
11711,05:30:00 p.m.,15,AVENIDA,ALVAREZ THOMAS AV.,-58.453597831205,-34.579841961076,CICLISTA,2020-02-06,Varon,32
11712,04:00:00 p.m.,2,CALLE,SANCHEZ DE BUSTAMANTE,-58.405500708019,-34.587177674301,CICLISTA,2020-02-06,Varon,47
11713,05:00:00 p.m.,1,AVENIDA,RIVADAVIA AV.,-58.381570494457,-34.608426700878,CICLISTA,2020-02-07,Varon,47
11714,01:00:00 p.m.,12,AVENIDA,"BALBIN, RICARDO, DR. AV.",-58.491178226865,-34.555089991374,CICLISTA,2020-02-08,Mujer,27
11715,01:40:00 p.m.,13,AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA",-58.431173439107,-34.546941288041,CICLISTA,2020-02-09,Varon,35
11719,05:00:00 p.m.,11,CALLE,"DIAZ, CESAR, GRAL.",-58.475222616667,-34.612419833831,CICLISTA,2020-02-10,Varon,61
11721,06:00:00 p.m.,12,AVENIDA,TRIUNVIRATO AV.,-58.496440521101,-34.557882675239,CICLISTA,2020-02-11,Varon,38
11722,08:20:00 p.m.,4,AVENIDA,VELEZ SARSFIELD AV.,-58.388656583654,-34.655623632519,CICLISTA,2020-02-11,Mujer,40
11724,03:56:00 p.m.,2,CALLE,BILLINGHURST,-58.41423732822,-34.596770251375,CICLISTA,2020-02-11,Mujer,42
11725,07:10:00 p.m.,11,CALLE,NAVARRO,-58.511156144996,-34.604267253978,CICLISTA,2020-02-11,Varon,34
11726,09:10:00 p.m.,5,CALLE,BULNES,-58.418355577062,-34.605280559191,CICLISTA,2020-02-12,Mujer,20
11728,08:05:00 a.m.,15,CALLE,GUZMAN,-58.451806231102,-34.589677835259,CICLISTA,2020-02-12,Varon,54
11729,04:20:00 p.m.,12,CALLE,VALLEJOS,-58.497392828956,-34.585717629585,CICLISTA,2020-02-12,Mujer,26
11730,05:40:00 p.m.,11,CALLE,NUEVA YORK,-58.511652429512,-34.600347721428,CICLISTA,2020-02-12,Varon,20
11731,07:30:00 p.m.,1,CALLE,SALTA,-58.382972544389,-34.621001332636,CICLISTA,2020-02-12,Varon,35
11734,04:40:00 p.m.,5,AVENIDA,INDEPENDENCIA AV.,-58.416511867917,-34.620976130709,CICLISTA,2020-02-13,Varon,22
11735,06:00:00 p.m.,9,CALLE,PATRON,-58.519821154092,-34.652001102613,CICLISTA,2020-02-13,Varon,43
11737,02:30:00 p.m.,14,AVENIDA,ARMENIA,-58.418258868542,-34.583581295303,PEATON,2020-02-14,Mujer,31
11738,06:30:00 p.m.,1,AVENIDA,CORRIENTES AV.,-58.389395118444,-34.60421805892,CICLISTA,2020-02-14,Varon,20
11739,10:15:00 p.m.,12,CALLE,NAHUEL HUAPI,-58.486671621303,-34.57005414912,CICLISTA,2020-02-15,Varon,21
11740,08:35:00 a.m.,2,AVENIDA,SANTA FE AV.,-58.403616393674,-34.594077306511,CICLISTA,2020-02-15,Varon,29
11741,02:30:00 p.m.,10,CALLE,CHIVILCOY,-58.500531095742,-34.612571075624,CICLISTA,2020-02-15,Mujer,28
11742,09:45:00 p.m.,9,CALLE,REMEDIOS,-58.491463994937,-34.654303077679,CICLISTA,2020-02-15,Varon,36
11743,02:33:00 a.m.,15,AVENIDA,DE LOS CONSTITUYENTES AV.,-58.476205561583,-34.592585067395,CICLISTA,2020-02-16,Varon,29
11745,10:30:00 p.m.,13,CALLE,IBERA,-58.46892650171,-34.555953838864,CICLISTA,2020-02-16,Varon,58
11748,12:10:00 p.m.,10,CALLE,RUIZ DE LOS LLANOS,-58.513760536197,-34.631745404702,CICLISTA,2020-02-18,Mujer,37
11749,06:00:00 p.m.,12,CALLE,BLANCO ENCALADA,-58.483588655052,-34.573895552498,CICLISTA,2020-02-18,Varon,89
11751,03:30:00 p.m.,10,AVENIDA,"BEIRO, FRANCISCO AV.",-58.530340969644,-34.618134252947,CICLISTA,2020-02-19,Varon,sd
