,ID,FECHA,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Ubicacion del accidente,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA,SEXO,EDAD
659,20210047,2021-06-02,16:00:00,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,"VEDIA, AGUSTIN DE",INTERSECCION,"VEDIA, AGUSTIN DE y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.42190745,-34.65633192,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,59
660,20210048,2021-06-03,09:58:00,CAPDEVILLA Y CONGRESO AV.,AVENIDA,CAPDEVILA,INTERSECCION,CAPDEVILA y CONGRESO AV.,12,-58.49026573,-34.56981410,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,44
661,20210049,2021-06-03,20:30:00,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",MITAD DE CUADRA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",8,-58.45410344,-34.66902702,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,74
662,20210050,2021-06-10,13:30:00,DEL LIBERTADOR AV. 5958,AVENIDA,DEL LIBERTADOR AV.,MITAD DE CUADRA,DEL LIBERTADOR AV. 5958,13,-58.44751621,-34.55719892,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,56
663,20210051,2021-06-15,19:20:00,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,27 DE FEBRERO AV.,INTERSECCION,27 DE FEBRERO AV. y EREZCANO AV.,4,-58.42040352,-34.66005171,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,73
664,20210052,2021-06-20,05:40:00,"PAZ, GRAL. AV. 14723",GRAL PAZ,"PAZ, GRAL. AV.",MITAD DE CUADRA,"PAZ, GRAL. AV. 14723",8,-58.49530249,-34.68010798,MOTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
665,20210053,2021-06-20,12:00:00,CORRIENTES AV. 5783,AVENIDA,CORRIENTES AV.,MITAD DE CUADRA,CORRIENTES AV. 5783,15,-58.44399875,-34.59477360,PEATON-BICICLETA,BICICLETA,PEATON,PEATON,MASCULINO,58
666,20210054,2021-06-22,14:44:00,TABARE Y EREZCANO,CALLE,TABARE,INTERSECCION,TABARE y EREZCANO,4,-58.42759813,-34.65463857,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,41
667,20210055,2021-06-29,12:20:00,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,CORRIENTES AV.,INTERSECCION,CORRIENTES AV. y PUEYRREDON AV.,3,-58.40547222,-34.60456293,MOTO-CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,47
668,20210056,2021-07-09,23:25:00,"CORRALES Y MORENO, PERITO AV.",AVENIDA,CORRALES,INTERSECCION,"CORRALES y MORENO, PERITO AV.",4,-58.42473018,-34.65008280,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,60
